Comentario_Procesado,Criterio,Polaridad
todas  cardinalidades  denotan correctamente,Asociaciones,1
  encuentran todas  clases  participan   sistema,Clases,-1
 clase medico especialista  posee atributos,Atributos,-1
 metodos  sintaxis correcta  completa,Métodos,1
existen cardinalidades  deben tener correspondencia    ,Asociaciones,-1
 clases estan escritas adecuadamente  relacionan globalmente  cada      respectivos atributos  metodos,Clases,1
  verifica  tipo  dato  cada atributo buena visibilidad,Atributos,0
existen metodos  necesitan argumentos    estan   funcionamientos mostrados   diagrama  caso  uso,Métodos,-1
todas  cardinalidades  denotan correctamente,Asociaciones,1
ausencia   clase importante usuario   caso  estudio,Clases,-1
 existe tipo  dato  ninguna clase,Atributos,-1
faltan metodos importantes  usuario  ademas   retorno  datos,Métodos,-1
 relaciones estan bien establecidas,Asociaciones,1
 nombres   clases  adecuados   encuentran todas  clases hacen falta examenespruebas  operacion,Clases,0
 nombre   atributos  adecuado  hace referencia   propiedad   clase  indica  tipo  dato  cada atributo   visibilidad,Atributos,1
 nombre   metodos  adecuado  hace referencia   accion   clase  indica  argumento   visibilidad    tipo  dato   tipo  dato  retorno  metodos indican  funcionalidad correcta   requerimientos,Métodos,0
 cardinalidades  correctas  direccion  navegacion  especificada  forma correcta,Asociaciones,1
existen clases tales  cita diagnostico  tratamiento    puede adjuntar   sola clase  historial clinico   facilitaria   medico  especialista,Clases,0
 nombres   atributos  encuentran correctamente    respecta  tipo  dato   clases existen errores,Atributos,1
ciertos metodos estan mal planteados debido       cumplen   funcionalidad especifica,Métodos,-1
existen clases  cuales  estan asociadas correctamente debido   solo asocian ciertas clases,Asociaciones,-1
 respecto   nombres   clases   adecuados  empiezan  mayuscula cada clase indica  estructura adecuada atributos  metodos importantes,Clases,1
 nombres   atributos  adecuados si indican  tipo  dato   estan bien   tipo  dato  atributo correo  string  deberia ser mail tambien  tipo  dato  fecha deberia ser date  atributos estan  mas,Atributos,0
 metodos  estan bien  ejemplo tratamiento  debe ser  metodo   clase tratamiento,Métodos,-1
 cardinalidades estan   confusas,Asociaciones,-1
todas  clases estan correctas  igual   estructura   informacion  hace falta  clase historial,Clases,0
estan completos atributos   visibilidad   adecuada   ciertos atributos  mal  tipo  dato       correo   deberia ser tipo  dato mail   fecha  tipo  dato date,Atributos,0
  muestra  tipo  retorno  da cada metodo  tambien    parece  constructor  cada clase    parece   demas,Métodos,-1
  flechas  indicar  navegacion  si   cardinalidades estan bien hechas,Asociaciones,0
 nombres   clases   adecuados falta  clase operacion  indican   diagrama  caso  uso   estructura adecuada   estan   atributos  metodos importantes,Clases,1
 nombres   atributos  correctos indican cada tipo  dato    atributos  parte   visibilidad  privados,Atributos,1
 nombres   metodos  correctos indican  argumentos     necesarios   valor  retorno  visibilidad  publica    demas clases  puedan usar   metodos usados   solicitados   sistema,Métodos,1
 cardinalidades  correctas  direccion  navegacion   asociaciones  especifican  forma correcta,Asociaciones,1
falta  clase   resto   clases estan correctamente,Clases,0
  atributos  encuentran completos muestran visibilidad   tipo  datos,Atributos,1
 metodos  muestran  funcionalidad correcta  sistema  tampoco indican  tipo  dato   valor  retorno,Métodos,-1
 cardinalidades  denotan correctamente    flechas  navegacion,Asociaciones,0
 nombres   clases  correctos    sustantivos    encuentras todas  clases faltaria  clase  objeto operacion cada clase existente cuenta   atributos  metodos,Clases,0
 nombres   atributos  correctos  representan  propiedad   clase  visibilidad   atributos  incorrecta   privados   utilizan   clase,Atributos,0
 nombres   metodos     caso   clase diagnostico  metodo obtener datos contiene  espacio   correctos   indican argumentos tipos  datos tipo  valor  retorno   visibilidad   metodos   correcta   utilizan   clases,Métodos,-1
 cardinalidades  denotan claramente   caso   paciente  historial   composicion indicando   paciente  puede existir si  existe  historial mientras deberia ser  reves,Asociaciones,0
 nombres   clases   adecuados  estructura   adecuada,Clases,1
 nombres   atributos   correctos  atributos poseen  tipo  dato,Atributos,1
 nombres   metodos   adecuados  metodos  contienen  tipo  valor  retorno,Métodos,0
 cardinalidades  denotan correctamente  direccion  navegacion  comprende facilmente,Asociaciones,1
 clases   estructura bien definida,Clases,1
 atributos estan bien establecidos,Atributos,1
 metodos   tipo  retorno,Métodos,-1
 cardinalidades  correctas,Asociaciones,1
correcto uso   estructura   clase,Clases,1
 atributos  estan bien escritos,Atributos,-1
  metodos  pueden ser privados,Métodos,-1
asociaciones usadas correctamente,Asociaciones,1
 nombres   clase estan bien escritos   hace falta  clase operacion   indica   caso  uso cu,Clases,0
cuenta   nombre   atributos adecuados     atributos privados,Atributos,0
 nombres   metodos  correctos  indica  tipos  datos ademas    metodos privados     podra usar  metodos   clases,Métodos,0
 composicion  incorrecta  clase pacientehistorial   indica   paciente  existe      historial,Asociaciones,-1
 nombres   clases estan bien escritas,Clases,1
 atributos  tipos  datos parcialmente correctos  recomienda revisar,Atributos,0
 metodos estan  clases   corresponden,Métodos,-1
 relaciones  objetos  bien,Asociaciones,1
 clases  coherentes,Clases,1
existe atributos redundantes,Atributos,-1
 metodos  clases   corresponde,Métodos,-1
 cardinalidades   denotan correctamente,Asociaciones,-1
muestra claramente  nombres   clases estan correctos cumplen  sustantivos  relativamente empiezan  mayusculas,Clases,1
 representacion   nombres   atributos  correctos cumplen   objetivos  demas expresan  propiedad   clase  define  tipo  dato   declaro  publicas    entendible  simple vista  atributos   muestran   diagrama si estan correctos cada  juega  papel cumpliendo  requerimientos  ejercicio,Atributos,1
 representacion   nombres   metodos descritos  correctos cumplen   accion    palabras operacion   clase  define  tipo  dato   declaro  publicas  tipo  valor  retorno  declaro  todas     entendible  simple vista  metodos   muestran   diagrama clases  debio mejorar     ejecucion     final cada  juega  papel   requerimientos  ejercicio,Métodos,0
 evaluacion   cardinalidades  identifican buenas   presentan dudas referente   roles  representan correctas  acuerdo   asociaciones   direccion   navegacion  estan correctas existen falencias,Asociaciones,0
 nombres   clases estan escritos   mejor manera   constan   sustantivo  empieza  mayusculas,Clases,1
 nombres   atributos   correctos   constan  sustantivos  adjetivos  expresan   mejor manera  propiedad   clase ademas  indica  tipo  dato   visibilidad adecuada,Atributos,1
 nombres   metodos   correctos   constan  verbos  expresan correctamente  accion u operacion   clase,Métodos,1
 cardinalidades   denotan   diagrama  clases  correctamente     roles  especifican   mejor manera,Asociaciones,1
 nombres   clases   adecuados faltan clases importantes  todas  clases posen  estructura correcta,Clases,0
 nombre   atributos  adecuado faltan atributos   clases,Atributos,0
 nombre   metodos  correcto  falta  tipo  datos faltan metodos,Métodos,0
 todas  cardinalidades estan correctas  direccion  navegacion   especifica  forma correcta,Asociaciones,-1
 nombres   clases  adecuados excepto     corresponde   requerimientos  estructura  correcta     atributos   metodos  informacion   parte   coherente   manera   especifican  atributos,Clases,0
 mayoria   nombres   atributos  adecuados aun asi existen    representan  propiedad   clase demuestra  manera correcta  tipo  datos  anaden restricciones  base  datos    modelo   usan existen atributos  hacen falta,Atributos,0
 respecto   nombres   metodos  estan escritos  manera aceptable  presenta  tipo  datos  valor  retorno argumentos  visibilidad existen metodos   corresponden   requerimientos   estan   deberian,Métodos,-1
 cardinalidades estan  manera correcta  roles   representan  deberian  direcciones  navegacion   presentan  estan correctas,Asociaciones,-1
 clases estan correctas,Clases,1
casi   atributos estan correctos,Atributos,1
 metodos  valor  retorno mal aplicado,Métodos,-1
 cardinalidades estan incorrectas,Asociaciones,-1
 nombres   clases  adecuados  sustantivos  empiezan  mayuscula cada clase  atributos correctos  metodos necesarios   funcionalidad  informacion   detalla  bien  faltan metodos,Clases,1
 nombres   atributos  correctos aunque   comienzan  mayuscula   estan escritos juntos   separados  atributo nombre  apellido deberian ser dos atributos separados   atributos   tipo  dato adecuado   visibles,Atributos,0
 nombres   metodos     adecuado       comprensibles   estan mal escritos    coherentes   pares  tipo  dato   reciben parece correcto  visibilidad   adecuada  clases  funcionalidad     completa  clases,Métodos,-1
 cardinalidad  correctas   uso  roles  heredan adecuadamente  direccion  navegacion   asociaciones  correcta,Asociaciones,1
 encuentran todas  clases mencionadas   requerimientos  sistema,Clases,1
 clase medico especialista  posee atributos,Atributos,-1
 metodos  sintaxis correcta  completa,Métodos,1
parcialmente correcto existen cardinalidades  deben correspondencia    ,Asociaciones,0
existen ciertos nombres   cumplen   parametros establecidos  existen metodos  mas  embargo  informacion descrita   correcta,Clases,0
 errores   nombre   atributos  tipos  datos   atributos   clase   correcto,Atributos,0
 nombre   metodos  adecuada  embargo existe poca claridad  alguno   nombres   metodos  metodos  cuentan   tipo  retorno,Métodos,0
 cardinalidades expresadas   correctas  navegacion   correcta,Asociaciones,1
existe  clase      requerimientos  estructura  encuentra bien  informacion  detallada,Clases,0
existen atributos    necesarios  atributos  tipos  datos incorrectos  visibilidad adecuada,Atributos,-1
 nombres  varios metodos   adecuados     entendibles  tipos  dato  retorno estan correctos  funcionalidad   encuentra   bien,Métodos,-1
 cardinalidades  adecuadas     requiere  roles  encuentran bien establecidos  existen asociaciones,Asociaciones,1
 correcta  forma  poner  clases  decir  estan  mayusculas   describen correctamente  embargo existen clases   deberian   ende  informacion detallada   mismas    correcta   causa    diagrama  casos  uso  incompleto tambien faltan muchas clases,Clases,0
 clases cuentan   atributos   corresponden  ciertos atributos  tipos  datos incorrectos  ejemplo   clase paciente  tipo  dato telefono debe ser string    poner long  omitira  numero   preferible usar tipos  datos integer  long   utilizan  espacio  memoria  mas pequeno,Atributos,0
 existen metodos   necesarios  ejemplo  metodo  registrar  nuevo paciente  metodos  atenderpaciente    metodo valido  tal,Métodos,-1
muchas   asociaciones  estan aplicadas correctamente  ejemplo  cardinalidad  paciente  citamedica     embargo  paciente puede registrar mas   cita medica   largo   tiempo  vida,Asociaciones,-1
 respecto   nombres   clases    adecuados  ejemplo   caso  uso  objeto   cita    diagrama  clases  llama citamedica tambien   diagrama  clases   objeto medicocabecera medicoespecialista  cuales  aparecen   diagrama  caso  uso   objeto,Clases,-1
 nombres   atributos  adecuados si indican  tipo  dato   estan bien   tipo  dato  atributo apellidos  objeto  deberia ser string  atributos estan demas   claves foraneas   clases   deben  ahi     hace implicitamente,Atributos,0
 metodos  estan bien   clases  ejemplo pedircita  debe ser  metodo   clase paciente sino  citamedica,Métodos,-1
 cardinalidades estan   confusas,Asociaciones,-1
 nombres   clases estan bien escritos   permite   identifiquen  nivel global  estructura atributos  metodos  correctos cierta parte   informacion     coherente  si hablamos  detalle  mismo   correcto,Clases,0
 nombres   atributos  adecuados  corresponden   propiedad   clase  tipo  dato  indica  manera correcta  embargo  visibilidad   muestra   coherente  atributos colocados   requeridos,Atributos,1
 nombres   metodos   correctos  indican  argumentos  tipo  dato  valor  retorno   visibilidad  metodos reflejan  funcionalidad  manera correcta,Métodos,1
existen ciertas cardinalidades   estan   correctas  roles estan especificados  forma correcta  direccion  navegacion  plasma  buena manera correcta   asociaciones,Asociaciones,1
 clases  correctas,Clases,1
existe redundancia  atributos,Atributos,-1
 metodos  clases   corresponde,Métodos,-1
 cardinalidades contiene ambiguedades,Asociaciones,-1
 nombres   clases  representativas,Clases,1
 atributos  representativos   clases,Atributos,1
 metodos  representativos   clases,Métodos,1
 relaciones  clases estan bien,Asociaciones,1
 nombres   clases  correctos aplican  sustantivo  empieza  mayuscula     union  dos  primera letra  cada    mayuscula todas  clases  adecuadas   solo vistazo pues  bien disenado cada clase   metodos  atributos     adecuados  informacion reportada  coherente   diagrama  casos  uso,Clases,1
 nombres   atributos  adecuados   esquema  atributos  adjetivos expresan  propiedad   clase   mantienen fidelidad   requerimientos cada atributo   tipo  dato   visibilidad adecuada   encapsulamiento falta atributos especificados   requerimientos,Atributos,0
 nombres   metodos  correctos   conglomeran  verbo   objeto  recae  accion  mismo  indicado  valor  retorno   visibilidad  adecuada   encapsulamiento faltan  metodos descritos   requerimientos,Métodos,0
todas  cardinalidades estan denotadas correctamente  roles  especifican adecuadamente   direccion  navegacion   mayoria   asociaciones  especifica bien,Asociaciones,1
 clases  coherentes,Clases,1
existe atributos redundantes,Atributos,-1
 metodos  clases   corresponde,Métodos,-1
 cardinalidades   denotan correctamente,Asociaciones,-1
 nombres   clases  adecuados  estructura  adecuada  informacion detallada  coherente,Clases,1
 nombres   atributos  adecuados  indica visibilidad  tipo  datos adecuadamente,Atributos,1
 metodos   tipo  dato  retorno incorrecto,Métodos,-1
 asociaciones  realizaron correctamente  roles  todas  cardinalidades  claras  entender,Asociaciones,0
 nombres   clases  adecuados aunque hace falta mas clases  representen   objetos cada clase   atributos  metodos   estructura adecuada  informacion  detallada   coherente,Clases,0
 nombres   atributos  adecuados aunque varios estan demas  tipos  datos  pocos atributos  encuentran mal definidos  existe buena visibilidad,Atributos,0
existen metodos dentro  clases   corresponden   misma si  tipo  valor  retorno aunque    correcto presentan visibilidad adecuada  presentan  correcta funcionalidad,Métodos,-1
 clases   encuentran bien asociadas    direccion   navegacion    correcta  usan  roles  manera adecuada  cardinalidad   bien especificada,Asociaciones,-1
 nombres   clases  identificables estan  mayusculas  engloban perfectamente   trata  realizar  cada clase  usan  atributos   metodos   faltan   verificar  funcionalidad   sistema  realizarse  informacion otorgada  buena,Clases,0
referente   atributos  nombres indican  uso   propiedad   diagrama clases  indican  tipo  dato  usarse     identificable  simple vista  hace uso    atributos   diagrama clases  manera correcta,Atributos,0
 acuerdo   metodos  nombre  correcto     entendible   quiere hacer   especificado  tipo  dato   ve  usar asi    retorno existe  argumento    constructor    simples vistas identifica     realiza  uso   metodos indican  funcionalidad  opino   hubiere mejorado mas  desarrollo,Métodos,0
 cardinalidades estan mal asociadas  ejemplo muchas citas si pueden tener varios diagnosticos   diagnostico puede tener varios tratamientos  roles   especifican correctamente  direccion  navegacion  todas  asociaciones   correcta suelen faltan asociaciones  usuario  cita  ,Asociaciones,-1
falta clases  representan   actores  informacion   coherente,Clases,-1
 nombres   atributos expresan  propiedad   clase   indica  tipo  dato   atributos   encuentran   atributos,Atributos,-1
 nombres   metodos  estan correctos    coherencia  funcionalidad   metodos   adecuada,Métodos,-1
 cardinalidades   adecuadas  roles   especifican correctamente,Asociaciones,-1
 nombres   clases  adecuados  sustantivos  empieza  mayusculas ademas cumple   informacion detallada  necesaria,Clases,1
 nombres   atributos   adecuados  sustantivos  adjetivos  expresan claramente  propiedad   clase     tipo  dato    necesario  poder implementarlos   sistema,Atributos,0
 existe  correcta sintaxis   metodos   logra especificar    funcionalidad especifica  cada    ademas  tipos  datos tipos  valor  retorno  visibilidad adecuada,Métodos,-1
 cardinalidades estan denotadas incorrectamente ademas existen asociaciones   estan realizadas   mejor manera,Asociaciones,-1
 nombres   clases   adecuadas  estructura   correcta   informacion presentada   coherente,Clases,-1
 atributos cumplen   respectiva estructura   cumplen   funcionalidad adecuada,Atributos,0
 nombres   metodos   especifican correctamente  estan correctamente estructurados   cumplen   funcionalidad adecuada,Métodos,-1
 cardinalidades   denotan correctamente  roles  estan bien especificados   direccion  navegacion   especifica  forma correcta,Asociaciones,-1
  especifican todas  clases  informacion   coherente,Clases,-1
 atributos estan mal especificados    tipo  dato,Atributos,-1
 metodos   concordancia  tipo  dato,Métodos,-1
 cardinalidades  denotan correctamente    flechas  navegacion,Asociaciones,0
 clases estan incompletas debido   misma falencia   arrastra   diagrama  casos  uso  estan omitiendo  clases   necesarias   correcto funcionamiento  sistema,Clases,-1
 mayoria   atributos estan especificados correctamente aunque debio especificar correctamente  identificador  cada tipo  usuario  sistema    actores independientes   pueden llevar  identificador igual   generaria conflictos  momento  utilizarlos,Atributos,1
 metodos declarados estan   lugar   corresponden   requerimientos   misma manera  arrastran falencias    sabido corregir,Métodos,-1
 asociaciones estan incorrectas  cardinalidades   especifican  manera correcta   estipula   requerimientos   direccion  navegacion   especifica correctamente debido     aprecia  manera correcta  direccion   forma      querido trabajar,Asociaciones,-1
 nombres   clases  adecuados  detectan todas  clases  estructura   incorrecta  informacion reportada  incoherente,Clases,0
 nombres   atributos  adecuados   indica  tipo  dato   detecta   atributos correctamente,Atributos,0
 nombres   metodos   adecuados  expresan verbo alguno faltan  funcionalidad   indican tipo  datos   metodos tampoco indican valor  retorno,Métodos,-1
 cardinalidades estan correctamente  roles  especifican correctamente  direccion estan correctamente,Asociaciones,1
 nombres   clases   adecuados  estructura   adecuada,Clases,1
 nombres   atributos   adecuados  contiene tipo  dato,Atributos,0
 nombres   metodos  correctos  contiene  tipo  dato  contiene  tipo  valor  retorno,Métodos,-1
 cardinalidades  denotan correctamente  roles  especificados correctamente,Asociaciones,1
 existen  clases necesarias  identificar  procedimientos  sistema  destaca  registro   cita   registro  ciertos procedimientos  parte   actores unicamente  forma general  metodos  agregar  modificar,Clases,-1
 mayoria  atributos  encuentran bien   tipos  datos     mayoria   clases    comunes  toda  cada usuario deberia definirse aparte agregando cada atributo extra  metodo,Atributos,0
 metodos descritos    diagrama unicamente  opcion  agregar deberian tener metodos  consultar datos   permita extraer  datos  utilizarlos   clases,Métodos,0
 asociaciones  quedan   claras solo asociaron  entidades    podrian tener relacion   u  forma especifica,Asociaciones,-1
 nombres   clases   adecuados  estructura   adecuada,Clases,1
 atributos estan correctos,Atributos,1
 nombres   metodos   correctos  indican  argumentos  tipo  dato  valor  retorno   visibilidad  metodos reflejan  funcionalidad  manera correcta,Métodos,1
 cardinalidades  denotan correctamente  roles  especificados correctamente,Asociaciones,1
 nombres  adecuados cumplen  sustantivos empiezan  mayuscula,Clases,1
 unas clases hace falta atributos necesarios   clase  comprende,Atributos,-1
 aplicacion   metodos  correctos,Métodos,1
 cuenta  cardinalidad  direccion   flechas  correcta  igual   uso   herencia ,Asociaciones,0
 clases estan bien definidas  nombres coherentes  atributos adecuados funcionalidades correctas   discrepancias   seguimiento   nombres  clase   guion bajo  _    nombre  separar palabras   demas    guion bajo  resumen    siguiendo  misma sintaxis  ,Clases,0
 discrepancias   seguimiento   nombres  atributo   guion bajo  _    nombre  separar palabras mientras      atributos  varias palabras utilizan minuscula   segunda palabra mientras   mayuscula  empezar  segunda palabra aparte    define bien   sirve cada atributo   tipos  datos utilizados  correctos excepto  usuario   clase cliente_login  tipo  dato  int  deberia ser varchar  string,Atributos,0
 discrepancias   seguimiento   nombres  metodos  varias palabras utilizan minuscula   segunda palabra mientras   mayuscula  empezar  segunda palabra loguin  mal escrito  login  metodos   tipo  dato  pesar    metodos si describen  realizan cada ,Métodos,-1
 cardinalidades estan bien hechas representan bien  obligatoriedad   relacion   clases,Asociaciones,1
  clases bien relacionadas   nombres  igual forma  podemos detectar pequenos errores   informacion dada   caso  uso,Clases,0
existen atributos inecesarios     cuales existe mucha redundancia,Atributos,-1
faltan argumentos   metodos,Métodos,-1
 cardinalidades   adecuadas  roles   especifican correctamente,Asociaciones,-1
 clases estan bien definidas  nombres coherentes  atributos adecuados funcionalidades correctas,Clases,1
  atributos estan bien definidos    tipo  dato adecuado,Atributos,1
 nombres   metodos   correctos  indican  argumentos  tipo  dato  valor  retorno   visibilidad  metodos reflejan  funcionalidad  manera correcta,Métodos,1
todas  asociaciones estan bien planteadas,Asociaciones,1
 clases estan bien definidas  nombres coherentes  atributos adecuados funcionalidades correctas,Clases,1
  atributo nombre usuario contrasena area  placa  char  string tampoco delimita cuantos espacios  entonces solo  podra ingresar  caracter,Atributos,-1
 nombres   metodos   correctos  indican  argumentos  tipo  dato  valor  retorno   visibilidad  metodos reflejan  funcionalidad  manera correcta,Métodos,1
  cardinalidades,Asociaciones,-1
 nombres   clases   adecuados   detecta todas  clases correctamente  informacion reportada   coherente,Clases,-1
 nombres   atributos   adecuados  expresan claramente  propiedad   clase  atributos estan medianamente correctos,Atributos,-1
 metodos    funcionalidad correcta  tipos  datos  pocos adecuados,Métodos,-1
todas  cardinalidad  denotan  manera incorrecta  roles estan mal especificados,Asociaciones,-1
 nombres   clases   adecuados  nombres  empiezan  mayusculas faltan clases  demuestren funcionalidad  estructura utilizada   adecuada  presenta atributos  metodos importantes  informacion reportada   detallada  coherente   errores gramaticales,Clases,-1
faltan atributos   clases  nombres utilizados  adecuados  tipo  dato   correcto  visibilidad  adecuada,Atributos,0
 nombres   metodos   adecuados  metodos  expresan  funcionalidad correcta previamente descrita   requerimientos faltan metodos  demuestren funcionalidad  indica  tipo  dato   tipo  dato  retorno,Métodos,-1
 cardinalidades   correctas   especifican  roles adecuadamente  direccion  navegacion   asociaciones   correcta  herencia  clases   correcta,Asociaciones,-1
 observa cierta redundancia   clases  ejemplo   clase empleado  cliente  pudo haber realizado  clase persona  contenga  atributos  comun  posteriormente haber realizado  subclases   misma,Clases,0
 visualiza   atributos representan caracteristicas   clases  tambien  consideran ciertos atributos  pueden  demas,Atributos,0
 metodos  observan correctamente descritos  aplicados dentro   clases,Métodos,1
 cardinales  observan correctamente aplicadas asi mismo   asociaciones,Asociaciones,1
 nombres delas clases estan bien aplicados    sustantivos  empiezan  mayusculas  clases  detectadas correctamente    respecta   estructura considero   mayoria  abarca,Clases,1
  parte  atributos cumple   requerimiento   adjetivos  sustantivos    ves expresan  propiedad   clase   tema  tipo  datos considero    estan bien colocados pongo  ejemplo  atributo fecha   declarado  string  visibilidad  bien ubicada,Atributos,0
  consideracion  nombres   metodos  adecuados  expresan  accion u operacion   clase  visibilidad  correcta  valor  retorno  considero correcto     funcionabilidad  falta algun metodo   paso  alto puede ser  metodo  imprimir contrato,Métodos,0
 cardinalidades  colocaron correctamente  roles si  especificados   asociaciones  correctas,Asociaciones,1
 nombres   clases estan escritos  mayusculas presentan  atributos necesario  importantes,Clases,1
 atributos estan descritos  forma correcta si   tipo  datos correctos    identifican si  visibilidad,Atributos,0
 metodos estan correctos  forma descrita correctamente  tipo  datos    retorno,Métodos,0
 cardinalidades  denotan  forma correcta  roles  estan descritos  forma correcta  direccion   navegacion  correctamente,Asociaciones,0
 nombres   clases  correctos  puestos  estan compuestos  sustantivos  empieza  mayusculas  estructura   cases si contienen  atributos  metodos mas relevantes     correctos  informacion detallada  encuentra  manera coherente  detallada,Clases,1
 nombres   atributos estan correctos puestos  estan compuestos  sustantivos  adjetivo expresando asi  correcta propiedad   clase  atributos tambien contienen  tipos  datos,Atributos,1
 nombres   metodos estan correctos   contiene verbo  expresando asi  accion si contiene  visibilidad adecuada asi   tipos  datos  estan correctos  tipos  valores  retorno  mayoria  metodos indican funcionalidad correcta   mayoria  requerimientos establecidos,Métodos,1
 direccion  todas  cardinalidades  todas  asociaciones    correcta ,Asociaciones,-1
 clases  coherentes,Clases,1
existe atributos redundantes,Atributos,-1
 metodos  clases   corresponde,Métodos,-1
 cardinalidades   denotan correctamente,Asociaciones,-1
 nombre   clase   mayuscula,Clases,1
parcialmente correcto   atributos  publicos olvidando  encapsulamiento,Atributos,0
  metodos  adecuados,Métodos,1
 errores   cardinalidades,Asociaciones,-1
todas  clases estan bien descritas,Clases,1
 atributos  dos puntos,Atributos,1
 metodos  clases   corresponde,Métodos,-1
  cardinalidades,Asociaciones,-1
faltan clases importantes  usuario,Clases,-1
faltan atributos uso inadecuado  tipo  dato char  variables  tipo date int  datos   seran calculados char  atributos  necesitan varchar,Atributos,-1
 metodos estan incorrectamente,Métodos,-1
 toda  cardinalidad  reves navegacion   clases  concuerdan,Asociaciones,-1
 coloco ninguna clase relacionada   personal  hospital,Clases,-1
  clase diagnostico    atributo  medico general   deberia ser  clase,Atributos,-1
 mayoria  metodos  permiten  acceso  ingreso    atributos   clases,Métodos,-1
 clase paciente  historial deberian tener cardinalidad  debido    paciente puede tener varios registros   historial deberia ser obligatorio  clase paciente   relacion   clase operacion  clase pacientes deberia poder tener mas   diagnostico  operacion  flecha   clase paciente  historial deberia tener  direccion opuesta,Asociaciones,-1
globalmente   detectan todas  clases  representar   sistema,Clases,-1
 existe tipos  datos   atributos   clases   visibilidad    adecuada    atributos estan  forma publica,Atributos,-1
 visibilidad   metodos    adecuado   estan  forma privada haciendo     puedan acceder  ,Métodos,-1
 incorrectas  mayoria   cardinalidades  ejemplo     clase historial  cita   cardinalidad  dice    cita  va  tener  historiales   historial solo va  existir  cita,Asociaciones,-1
 calidad   nombres   clases si empiezan  mayusculas  si  sustantivos cumpliendo   establecido referente   estructura   encuentra correcta existen falencias tales   vez  hacer cita  diagnostico  tratamiento  unirlo   solo  historia clinica,Clases,0
 presentacion   nombres   atributos si  encuentran acorde  entendibles  acuerdo   tipo  dato  encuentra  incorrectos  errores   ejemplo fecha deberia  ser date horatime  hablamos   identificador   cedula mas acorde  veria  uninteger,Atributos,0
 determinacion   nombres   metodos tambien  encuentran entendibles  asi mismo   caso anterior  mal  tipo  datos   metodo  opino   vez  hacer tantos metodos  obtener cedula telefono  correo  hacerlo  solo  obtener datosen general,Métodos,0
 acuerdo   asociaciones faltan   cardinalidades si cumplen asi mismo  roles  juegan  papeles importantes    asi mismo  pudo mejorar  ,Asociaciones,0
existen clases   innecesarias  pueden ser reemplazadas   clase  detalle  mejor  funcionalidades,Clases,-1
 mayoria  atributos   clases estan correctos    caso  atributos  fecha  hora   incorrecto  tipo  dato,Atributos,0
 metodos descritos estan incorrectos   mayoria   describen procesos    necesarios   pueden realizarse dentro  ,Métodos,-1
 asociaciones descritas  estipulan  relaciones adecuadas  clases  debido     diagrama  casos  uso  encuentran falencias   venido arrastrando   posteriores diagramas,Asociaciones,-1
existen  clases necesarias  identificar  procedimiento  sistema   pudo reunir  creacion  cita diagnostico  tratamiento   clase historial medico  incluiria    aparte    obviada  herencia  paciente  especialista,Clases,0
 mayoria  atributos  encuentran bien   tipos  datos     mayoria   clases coinciden unicamente  tipo date falto especificarlas bien,Atributos,1
 metodos descritos    diagrama intentan recuperar datos   ninguna   clases  ve   alimenta  sistema   registran  datos  ser utilizados   clases,Métodos,0
 asociaciones  quedan   claras solo asociaron  entidades    podrian tener relacion   u  forma especifica,Asociaciones,-1
hace falta  incorporacion  metodos importantes   clases,Clases,-1
 atributos estan bien establecidos,Atributos,1
hacen falta metodos  ademas existe ausencia  parametros  indica  tipo  retorno,Métodos,-1
 cardinalidades   adecuadas  roles   especifican correctamente,Asociaciones,-1
  adecuado todas  clases  ejemplo   caso  uso cita    diagrama  clases   citamedica  mismo  medicocabecera  medicoespecialista,Clases,-1
 errores  colocar  atributos   clase  clave foranea pues   hace implicitamente   tipos  datos  nombres  apellidos  clase medicocabecera estan  tipo objeto  realmente deberian ser  tipo string   algun tipo  dato  caracteres,Atributos,-1
 metodos  todas  clases   verbos si  mas bien sustantivos      ver   clase  ,Métodos,-1
  clara  cardinalidades   confuso  tampoco  entiende  direccion  navegacion   roles,Asociaciones,-1
  todas  clases estan  mayuscula   sustantivos  estructura   clase  bien    nombre   clase  atributos   metodos       clases innecesarias,Clases,1
 tipos  datos  incorrectos    debe agregar   clase  atributos    clases,Atributos,-1
 metodos estan incorrectamente,Métodos,-1
  encuentran  cardinalidades completas   claro    especificacion   roles  tampoco  entiende  direccion  navegacion,Asociaciones,-1
 clases  nombres correctos  faltan  clases,Clases,0
 buenos nombres  atributos  atributos    tipo  dato coherente,Atributos,0
 metodos    mismo tipo  retorno  clase   metodos,Métodos,-1
 asociaciones   cardinalidades correctas  herencia  confusa  ciertos casos,Asociaciones,-1
 nombres   clases  adecuados faltan  clases  subclases  clases   estructura parcialmente adecuada   faltan atributos  informacion indicada  detallada  coherente,Clases,0
 nombres   atributos  adecuados  tipo  dato   atributos   coherentes  visibilidad   atributos   adecuada   detectado  mayoria   atributos correctamente,Atributos,0
 nombres   metodos  adecuados  tipo  dato   metodos   coherentes  visibilidad   metodos   adecuada  mayoria   argumentos  tipo  valor  retorno   mayoria    adecuado  metodos indican funcionalidad correcta,Métodos,-1
 cardinalidades  denotan incorrectamente   especifica roles  direccion  navegacion   mayoria   asociaciones  especifica  forma incorrecta,Asociaciones,-1
 nombres   clases  adecuados faltan  clases  subclase   clases  indica  estructura adecuada  atributos  metodos  informacion indicada  parcialmente detallada   coherente,Clases,0
